"president","inauguration_date","election_date","party"
"Eisenhower (1957)",1957-01-20,1956-11-06,"Republican"
"Kennedy (1961)",1961-01-20,1960-11-08,"Democratic"
"Johnson (1963)",1963-11-22,1960-11-08,"Democratic"
"Nixon (1969)",1969-01-20,1968-11-05,"Republican"
"Nixon (1973)",1973-01-20,1972-11-07,"Republican"
"Ford (1974)",1974-08-09,1972-11-07,"Republican"
"Carter (1977)",1977-01-20,1976-11-02,"Democratic"
"Reagan (1981)",1981-01-20,1980-11-04,"Republican"
"Reagan (1985)",1985-01-20,1984-11-06,"Republican"
"Bush Sr. (1989)",1989-01-20,1988-11-08,"Republican"
"Clinton (1993)",1993-01-20,1992-11-03,"Democratic"
"Clinton (1997)",1997-01-20,1996-11-05,"Democratic"
"Bush Jr. (2001)",2001-01-20,2000-11-07,"Republican"
"Bush Jr. (2005)",2005-01-20,2004-11-02,"Republican"
"Obama (2009)",2009-01-20,2008-11-04,"Democratic"
"Obama (2013)",2013-01-20,2012-11-06,"Democratic"
"Trump (2017)",2017-01-20,2016-11-08,"Republican"
"Biden (2021)",2021-01-20,2020-11-03,"Democratic"
"Trump (2025)",2025-01-20,2024-11-05,"Republican"
